Treatment.Date,Insecticide,Fungicide,Adjuvant,Dose,Dead,Treated
2018-06-26,none,PBO,none,0,0,18
2018-06-26,none,PBO,none,0.1,1,20
2018-06-26,none,PBO,none,1,2,20
2018-06-26,none,PBO,none,10,1,20
2018-06-26,none,PBO,none,30,3,20
2018-07-04,none,PBO,none,100,2,21
2018-07-17,none,PBO,none,0,0,20
2018-07-17,none,PBO,none,0.1,1,20
2018-07-17,none,PBO,none,1,0,20
2018-07-17,none,PBO,none,10,1,20
2018-07-17,none,PBO,none,30,0,20
2018-07-20,none,PBO,none,100,12,20
2017-07-12,none,Tilt,none,0,1,20
2017-07-12,none,Tilt,none,0.1,1,20
2017-07-12,none,Tilt,none,1,1,20
2017-07-12,none,Tilt,none,10,1,20
2017-07-14,none,Tilt,none,0,1,20
2017-07-14,none,Tilt,none,0.1,1,20
2017-07-14,none,Tilt,none,1,3,20
2017-07-14,none,Tilt,none,10,0,20
2017-07-23,none,Tilt,none,0,0,20
2017-07-23,none,Tilt,none,0.1,1,20
2017-07-23,none,Tilt,none,1,1,19
2017-07-23,none,Tilt,none,3,1,19
2017-07-23,none,Tilt,none,10,0,20
2017-07-23,none,Tilt,none,30,2,19
2017-07-25,none,Tilt,none,0,0,19
2017-07-25,none,Tilt,none,0.1,0,20
2017-07-25,none,Tilt,none,1,1,21
2017-07-25,none,Tilt,none,3,4,20
2017-07-25,none,Tilt,none,10,3,20
2017-07-25,none,Tilt,none,30,2,20
2017-07-27,none,Tilt,none,0,0,20
2017-07-27,none,Tilt,none,0.1,0,20
2017-07-27,none,Tilt,none,1,0,20
2017-07-27,none,Tilt,none,3,0,20
2017-07-27,none,Tilt,none,10,2,20
2017-07-27,none,Tilt,none,30,0,20
2018-06-12,none,Tilt,none,0,0,20
2018-06-12,none,Tilt,none,0.1,1,20
2018-06-12,none,Tilt,none,1,0,20
2018-06-12,none,Tilt,none,10,0,20
2018-06-12,none,Tilt,none,30,0,20
2018-06-12,none,Tilt,none,0,0,20
2018-06-12,none,Tilt,none,0.1,0,20
2018-06-12,none,Tilt,none,1,0,20
2018-06-12,none,Tilt,none,10,0,20
2018-06-12,none,Tilt,none,30,1,20
