Treatment.Date,Insecticide,Fungicide,Adjuvant,Dose,Dead,Treated
5/29/19,none,none,Dyne-Amic,0,1,20
5/29/19,none,none,Dyne-Amic,1,1,20
5/29/19,none,none,Dyne-Amic,3,1,20
5/29/19,none,none,Dyne-Amic,10,18,20
5/29/19,none,none,Dyne-Amic,30,20,20
7/6/19,none,none,Dyne-Amic,0,0,20
7/6/19,none,none,Dyne-Amic,0.1,0,20
7/6/19,none,none,Dyne-Amic,1,1,20
7/6/19,none,none,Dyne-Amic,3,9,20
7/6/19,none,none,Dyne-Amic,5,19,20
7/6/19,none,none,Dyne-Amic,8,20,20
7/6/19,none,none,Dyne-Amic,10,20,20
7/6/19,none,none,Dyne-Amic,30,20,20
7/6/19,none,none,Dyne-Amic,0,0,20
7/6/19,none,none,Dyne-Amic,0.1,0,20
7/6/19,none,none,Dyne-Amic,1,2,20
7/6/19,none,none,Dyne-Amic,3,9,20
7/6/19,none,none,Dyne-Amic,5,9,20
7/6/19,none,none,Dyne-Amic,8,19,20
7/6/19,none,none,Dyne-Amic,10,20,20
7/6/19,none,none,Dyne-Amic,30,20,20
7/31/19,none,none,Dyne-Amic,0,0,20
7/31/19,none,none,Dyne-Amic,0.1,0,20
7/31/19,none,none,Dyne-Amic,1,0,20
7/31/19,none,none,Dyne-Amic,3,17,19
7/31/19,none,none,Dyne-Amic,5,20,20
7/31/19,none,none,Dyne-Amic,8,20,20
7/31/19,none,none,Dyne-Amic,10,20,20
7/31/19,none,none,Dyne-Amic,30,20,20
7/5/17,none,Pristine,none,0,2,20
7/5/17,none,Pristine,none,0.1,2,20
7/5/17,none,Pristine,none,1,2,20
7/5/17,none,Pristine,none,10,1,19
7/11/17,none,Pristine,none,0,2,20
7/11/17,none,Pristine,none,0.1,0,20
7/11/17,none,Pristine,none,1,1,20
7/11/17,none,Pristine,none,10,1,20
7/13/17,none,Pristine,none,0,1,19
7/13/17,none,Pristine,none,0.1,1,20
7/13/17,none,Pristine,none,1,1,20
7/13/17,none,Pristine,none,10,0,20
7/26/17,none,Pristine,none,0,1,20
7/26/17,none,Pristine,none,30,1,20
5/31/19,none,Pristine,none,0,1,20
5/31/19,none,Pristine,none,1,0,20
5/31/19,none,Pristine,none,3,0,20
5/31/19,none,Pristine,none,10,0,20
5/31/19,none,Pristine,none,30,0,20
6/13/19,none,Pristine,none,0,1,20
6/13/19,none,Pristine,none,1,1,20
6/13/19,none,Pristine,none,3,0,20
6/13/19,none,Pristine,none,10,0,20
6/13/19,none,Pristine,none,30,1,19
6/27/19,none,Pristine,none,0,1,20
6/27/19,none,Pristine,none,1,1,20
6/27/19,none,Pristine,none,3,1,20
6/27/19,none,Pristine,none,10,2,20
6/11/19,none,Pristine,Dyne-Amic,0,0,20
6/11/19,none,Pristine,Dyne-Amic,1,0,20
6/11/19,none,Pristine,Dyne-Amic,10,2,20
6/11/19,none,Pristine,Dyne-Amic,30,4,20
6/12/19,none,Pristine,Dyne-Amic,0,0,20
6/12/19,none,Pristine,Dyne-Amic,1,0,20
6/12/19,none,Pristine,Dyne-Amic,10,1,20
6/12/19,none,Pristine,Dyne-Amic,30,9,20
6/27/19,none,Pristine,Dyne-Amic,0,1,20
6/27/19,none,Pristine,Dyne-Amic,1,0,20
6/27/19,none,Pristine,Dyne-Amic,10,8,20
6/27/19,none,Pristine,Dyne-Amic,30,15,20
7/12/17,none,Tilt,none,0,1,20
7/12/17,none,Tilt,none,0.1,1,20
7/12/17,none,Tilt,none,1,1,20
7/12/17,none,Tilt,none,10,1,20
7/14/17,none,Tilt,none,0,1,20
7/14/17,none,Tilt,none,0.1,1,20
7/14/17,none,Tilt,none,1,3,20
7/14/17,none,Tilt,none,10,0,20
7/23/17,none,Tilt,none,0,0,20
7/23/17,none,Tilt,none,0.1,1,20
7/23/17,none,Tilt,none,1,1,19
7/23/17,none,Tilt,none,3,1,19
7/23/17,none,Tilt,none,10,0,20
7/23/17,none,Tilt,none,30,2,19
7/25/17,none,Tilt,none,0,0,19
7/25/17,none,Tilt,none,0.1,0,20
7/25/17,none,Tilt,none,1,1,21
7/25/17,none,Tilt,none,3,4,20
7/25/17,none,Tilt,none,10,3,20
7/25/17,none,Tilt,none,30,2,20
7/27/17,none,Tilt,none,0,0,20
7/27/17,none,Tilt,none,0.1,0,20
7/27/17,none,Tilt,none,1,0,20
7/27/17,none,Tilt,none,3,0,20
7/27/17,none,Tilt,none,10,2,20
7/27/17,none,Tilt,none,30,0,20
6/12/18,none,Tilt,none,0,0,20
6/12/18,none,Tilt,none,0.1,1,20
6/12/18,none,Tilt,none,1,0,20
6/12/18,none,Tilt,none,10,0,20
6/12/18,none,Tilt,none,30,0,20
6/12/18,none,Tilt,none,0,0,20
6/12/18,none,Tilt,none,0.1,0,20
6/12/18,none,Tilt,none,1,0,20
6/12/18,none,Tilt,none,10,0,20
6/12/18,none,Tilt,none,30,1,20
6/13/18,none,Tilt,none,0,0,20
6/13/18,none,Tilt,none,0.1,0,20
6/13/18,none,Tilt,none,1,1,21
6/13/18,none,Tilt,none,10,1,20
6/13/18,none,Tilt,none,30,2,20
6/26/18,none,Tilt,none,0,2,20
6/26/18,none,Tilt,none,0.1,1,20
6/26/18,none,Tilt,none,1,5,20
6/26/18,none,Tilt,none,10,0,20
6/26/18,none,Tilt,none,30,1,20
5/29/19,none,Tilt,none,0,0,20
5/29/19,none,Tilt,none,1,0,20
5/29/19,none,Tilt,none,3,0,20
5/29/19,none,Tilt,none,10,1,20
5/29/19,none,Tilt,none,30,0,20
6/11/19,none,Tilt,none,0,1,20
6/11/19,none,Tilt,none,1,0,20
6/11/19,none,Tilt,none,3,2,20
6/11/19,none,Tilt,none,10,0,20
6/11/19,none,Tilt,none,30,1,20
7/5/19,none,Tilt,none,0,1,20
7/5/19,none,Tilt,none,1,0,20
7/5/19,none,Tilt,none,3,2,20
7/5/19,none,Tilt,none,10,2,20
7/5/19,none,Tilt,none,30,2,20
7/14/17,none,Tilt,Dyne-Amic,0,0,20
7/14/17,none,Tilt,Dyne-Amic,1,0,20
7/14/17,none,Tilt,Dyne-Amic,10,0,20
6/11/19,none,Tilt,Dyne-Amic,0,1,20
6/11/19,none,Tilt,Dyne-Amic,1,3,20
6/11/19,none,Tilt,Dyne-Amic,3,1,20
6/11/19,none,Tilt,Dyne-Amic,10,0,20
6/11/19,none,Tilt,Dyne-Amic,30,1,20
6/11/19,none,Tilt,Dyne-Amic,0,2,20
6/11/19,none,Tilt,Dyne-Amic,1,3,20
6/11/19,none,Tilt,Dyne-Amic,3,1,20
6/11/19,none,Tilt,Dyne-Amic,10,1,20
6/11/19,none,Tilt,Dyne-Amic,30,1,20
6/24/19,none,Tilt,Dyne-Amic,0,1,20
6/24/19,none,Tilt,Dyne-Amic,1,0,20
6/24/19,none,Tilt,Dyne-Amic,3,0,20
6/24/19,none,Tilt,Dyne-Amic,10,1,20
6/24/19,none,Tilt,Dyne-Amic,30,0,20
7/11/19,none,Tilt,Dyne-Amic,0,0,20
7/11/19,none,Tilt,Dyne-Amic,1,0,20
7/11/19,none,Tilt,Dyne-Amic,30,0,20
