Treatment.Date,Insecticide,Fungicide,Adjuvant,Dose,Dead,Treated
2020-06-08,none,none,Dyne-Amic,0,1,20
2020-06-08,none,none,Dyne-Amic,1,0,20
2020-06-08,none,none,Dyne-Amic,3,2,20
2020-06-08,none,none,Dyne-Amic,10,3,20
2020-06-08,none,none,Dyne-Amic,30,10,20
2020-06-15,none,none,Dyne-Amic,0,3,20
2020-06-15,none,none,Dyne-Amic,1,2,17
2020-06-15,none,none,Dyne-Amic,3,3,19
2020-06-15,none,none,Dyne-Amic,10,5,20
2020-06-15,none,none,Dyne-Amic,30,19,20
2020-06-16,none,none,Dyne-Amic,0,2,20
2020-06-16,none,none,Dyne-Amic,1,0,20
2020-06-16,none,none,Dyne-Amic,3,1,20
2020-06-16,none,none,Dyne-Amic,10,3,19
2020-06-16,none,none,Dyne-Amic,30,8,20
2020-06-29,none,none,Dyne-Amic,0,0,20
2020-06-29,none,none,Dyne-Amic,1,0,20
2020-06-29,none,none,Dyne-Amic,3,0,21
2020-06-29,none,none,Dyne-Amic,5,1,20
2020-06-29,none,none,Dyne-Amic,8,15,20
2020-06-29,none,none,Dyne-Amic,10,0,21
2020-06-29,none,none,Dyne-Amic,15,7,20
2020-06-29,none,none,Dyne-Amic,30,4,20
2020-06-29,none,none,Dyne-Amic,50,20,20
2020-07-02,none,none,Dyne-Amic,0,0,20
2020-07-02,none,none,Dyne-Amic,1,0,20
2020-07-02,none,none,Dyne-Amic,3,0,20
2020-07-02,none,none,Dyne-Amic,5,1,20
2020-07-02,none,none,Dyne-Amic,8,16,20
2020-07-02,none,none,Dyne-Amic,10,5,20
2020-07-02,none,none,Dyne-Amic,15,20,20
2020-07-02,none,none,Dyne-Amic,30,11,20
2020-07-02,none,none,Dyne-Amic,50,18,20
2020-07-07,none,none,Dyne-Amic,0,0,20
2020-07-07,none,none,Dyne-Amic,1,0,20
2020-07-07,none,none,Dyne-Amic,3,0,20
2020-07-07,none,none,Dyne-Amic,5,10,20
2020-07-07,none,none,Dyne-Amic,8,7,20
2020-07-07,none,none,Dyne-Amic,10,6,20
